file_type,creation_date,file_path,last_modified_date,triplet_source_id,file_name,page_label,file_size,last_ingested_at,was_ingested_by_sbom,last_ingested_by_sbom_at,~id,~from,~to,~label
application/pdf,2024-09-27,/home/ec2-user/bechbd/amazon-neptune-generative-ai-samples/solutions/sbom-pgi-chatbot/data/kg_enhanced_rag/SBOM Sharing Primer.pdf,2024-09-27,91f5ed9c-b278-4c4f-822a-bef78161ddb0,SBOM Sharing Primer.pdf,17,897107.0,,,,neptune_reserved_1_1152921912628740096,e6fea6d8-15c4-4ad0-80c7-2d69f0c9bfee0,5b151b46-bcee-48d2-9e04-9b5f2ecc43050,Is
application/pdf,2024-09-27,/home/ec2-user/bechbd/amazon-neptune-generative-ai-samples/solutions/sbom-pgi-chatbot/data/kg_enhanced_rag/SBOM FAQ 2024.pdf,2024-09-27,a9e6df99-753e-4669-ba5c-df384910fe8d,SBOM FAQ 2024.pdf,13,217992.0,,,,neptune_reserved_1_1152921916923707392,2324cc45-ba28-4b7a-839a-09a35ab1dcad0,4d3f8ecb-a33b-4ac6-a6cd-385f8542d1cf0,Must contain
,,,,,,,,,,,neptune_reserved_1_1152921929808609280,0263df8e-f44c-48e2-b272-7caba77ece7f0,0a79286e-413f-412d-ad74-70a331dca83d0,MENTIONS
,,,,,,,,,,,neptune_reserved_1_1152921951283445760,0263df8e-f44c-48e2-b272-7caba77ece7f0,5b151b46-bcee-48d2-9e04-9b5f2ecc43050,MENTIONS
,,,,,,,,,,,neptune_reserved_1_1152921959873380352,0263df8e-f44c-48e2-b272-7caba77ece7f0,e6fea6d8-15c4-4ad0-80c7-2d69f0c9bfee0,MENTIONS
,,,,,,,,1718294041.592056,True,1718294041.592056,neptune_reserved_1_1152921852499197953,Component_component_library_urlgrabber,License_license_lgpl,LICENSED_BY
,,,,,,,,,,,neptune_reserved_1_1152921916923707393,0263df8e-f44c-48e2-b272-7caba77ece7f0,ad7c010b-2b8f-4d35-a6b7-8f6449f29abc0,MENTIONS
,,,,,,,,,,,neptune_reserved_1_1152921921218674689,0263df8e-f44c-48e2-b272-7caba77ece7f0,6ed3fed4-a971-4857-a343-7ccd5a057af90,MENTIONS
,,,,,,,,,,,neptune_reserved_1_1152921929808609281,2a6483f0-9de7-48e0-bc64-1d09b7c8dab00,ed4d2159-7239-4543-abcb-e707464fb48e0,MENTIONS
,,,,,,,,,,,neptune_reserved_1_1152921946988478465,a655a315-ea08-46ef-8445-becf2f1b27f60,f4c92eba-78a5-47ec-af6d-37de7387042d0,MENTIONS
